Категория товара,Колличество совершенных покупок
computers.components.videocards,6888
electronics.telephone,4119
stationery.cartrige,2739
computers.peripherals.printer,2557
computers.notebook,1297
computers.components.motherboard,1266
computers.components.cpu,1213
electronics.audio.acoustic,848
electronics.tablet,819
auto.accessories.player,685
computers.peripherals.camera,521
computers.components.hdd,485
computers.components.power_supply,483
computers.peripherals.wifi,406
electronics.video.tv,389
appliances.environment.vacuum,297
construction.tools.soldering,289
construction.tools.drill,278
computers.desktop,268
computers.peripherals.joystick,265
computers.components.cooler,227
electronics.audio.headphone,222
computers.ebooks,212
computers.peripherals.monitor,204
computers.peripherals.scanner,165
construction.tools.saw,163
appliances.sewing_machine,130
auto.accessories.videoregister,129
computers.peripherals.mouse,128
furniture.living_room.shelving,115
computers.peripherals.keyboard,96
electronics.video.projector,94
auto.accessories.gps,90
stationery.paper,85
construction.tools.screw,79
construction.tools.light,77
electronics.camera.video,75
auto.accessories.compressor,75
appliances.kitchen.meat_grinder,72
appliances.steam_cleaner,70
appliances.kitchen.grill,67
construction.tools.welding,67
stationery.stapler,66
electronics.video.tv_remote,62
electronics.audio.microphone,61
auto.accessories.parktronic,57
accessories.bag,56
appliances.kitchen.kettle,56
computers.network.router,45
computers.components.tv_tuner,44
computers.components.cdrw,39
appliances.personal.massager,35
electronics.clocks,35
appliances.kitchen.mixer,32
stationery.battery,29
auto.accessories.alarm,28
appliances.personal.hair_cutter,26
computers.components.network_adapter,25
appliances.kitchen.microwave,24
construction.tools.painting,23
appliances.kitchen.blender,22
appliances.kitchen.coffee_machine,21
auto.accessories.radar,21
appliances.environment.air_heater,19
electronics.audio.music_tools.piano,18
computers.components.sound_card,17
electronics.audio.dictaphone,12
appliances.kitchen.fryer,12
construction.tools.wrench,11
medicine.tools.tonometer,11
computers.peripherals.nas,11
kids.toys,10
electronics.calculator,10
country_yard.cultivator,9
appliances.iron,8
country_yard.weather_station,8
computers.peripherals.vr,7
country_yard.lawn_mower,6
sport.bicycle,6
construction.tools.pump,6
appliances.personal.scales,6
jewelry.souvenir,5
auto.accessories.window,4
construction.tools.heater,4
electronics.camera.photo,4
appliances.kitchen.juicer,3
appliances.kitchen.toster,2
appliances.kitchen.coffee_grinder,2
construction.tools.generator,2
auto.accessories.immobilizer,2
auto.accessories.light,1
computers.gaming,1
